0.49 0.29 0.48 0.50 0.56 0.24 0.35 1
0.07 0.40 0.48 0.50 0.54 0.35 0.44 1
0.56 0.40 0.48 0.50 0.49 0.37 0.46 1
0.59 0.49 0.48 0.50 0.52 0.45 0.36 1
0.23 0.32 0.48 0.50 0.55 0.25 0.35 1
0.67 0.39 0.48 0.50 0.36 0.38 0.46 1
0.29 0.28 0.48 0.50 0.44 0.23 0.34 1
0.21 0.34 0.48 0.50 0.51 0.28 0.39 1
0.20 0.44 0.48 0.50 0.46 0.51 0.57 1
0.42 0.40 0.48 0.50 0.56 0.18 0.30 1
0.42 0.24 0.48 0.50 0.57 0.27 0.37 1
0.25 0.48 0.48 0.50 0.44 0.17 0.29 1
0.39 0.32 0.48 0.50 0.46 0.24 0.35 1
0.51 0.50 0.48 0.50 0.46 0.32 0.35 1
0.22 0.43 0.48 0.50 0.48 0.16 0.28 1
0.25 0.40 0.48 0.50 0.46 0.44 0.52 1
0.34 0.45 0.48 0.50 0.38 0.24 0.35 1
0.44 0.27 0.48 0.50 0.55 0.52 0.58 1
0.23 0.40 0.48 0.50 0.39 0.28 0.38 1
0.41 0.57 0.48 0.50 0.39 0.21 0.32 1
0.40 0.45 0.48 0.50 0.38 0.22 0.00 1
0.31 0.23 0.48 0.50 0.73 0.05 0.14 1
0.51 0.54 0.48 0.50 0.41 0.34 0.43 1
0.30 0.16 0.48 0.50 0.56 0.11 0.23 1
0.36 0.39 0.48 0.50 0.48 0.22 0.23 1
0.29 0.37 0.48 0.50 0.48 0.44 0.52 1
0.25 0.40 0.48 0.50 0.47 0.33 0.42 1
0.21 0.51 0.48 0.50 0.50 0.32 0.41 1
0.43 0.37 0.48 0.50 0.53 0.35 0.44 1
0.43 0.39 0.48 0.50 0.47 0.31 0.41 1
0.53 0.38 0.48 0.50 0.44 0.26 0.36 1
0.34 0.33 0.48 0.50 0.38 0.35 0.44 1
0.56 0.51 0.48 0.50 0.34 0.37 0.46 1
0.40 0.29 0.48 0.50 0.42 0.35 0.44 1
0.24 0.35 0.48 0.50 0.31 0.19 0.31 1
0.36 0.54 0.48 0.50 0.41 0.38 0.46 1
0.29 0.52 0.48 0.50 0.42 0.29 0.39 1
0.65 0.47 0.48 0.50 0.59 0.30 0.40 1
0.32 0.42 0.48 0.50 0.35 0.28 0.38 1
0.38 0.46 0.48 0.50 0.48 0.22 0.29 1
0.33 0.45 0.48 0.50 0.52 0.32 0.41 1
0.30 0.37 0.48 0.50 0.59 0.41 0.49 1
0.40 0.50 0.48 0.50 0.45 0.39 0.47 1
0.28 0.38 0.48 0.50 0.50 0.33 0.42 1
0.61 0.45 0.48 0.50 0.48 0.35 0.41 1
0.17 0.38 0.48 0.50 0.45 0.42 0.50 1
0.44 0.35 0.48 0.50 0.55 0.55 0.61 1
0.43 0.40 0.48 0.50 0.39 0.28 0.39 1
0.42 0.35 0.48 0.50 0.58 0.15 0.27 1
0.23 0.33 0.48 0.50 0.43 0.33 0.43 1
0.37 0.52 0.48 0.50 0.42 0.42 0.36 1
0.29 0.30 0.48 0.50 0.45 0.03 0.17 1
0.22 0.36 0.48 0.50 0.35 0.39 0.47 1
0.23 0.58 0.48 0.50 0.37 0.53 0.59 1
0.47 0.47 0.48 0.50 0.22 0.16 0.26 1
0.54 0.47 0.48 0.50 0.28 0.33 0.42 1
0.51 0.37 0.48 0.50 0.35 0.36 0.45 1
0.40 0.35 0.48 0.50 0.45 0.33 0.42 1
0.44 0.34 0.48 0.50 0.30 0.33 0.43 1
0.42 0.38 0.48 0.50 0.54 0.34 0.43 1
0.44 0.56 0.48 0.50 0.50 0.46 0.54 1
0.52 0.36 0.48 0.50 0.41 0.28 0.38 1
0.36 0.41 0.48 0.50 0.48 0.47 0.54 1
0.18 0.30 0.48 0.50 0.46 0.24 0.35 1
0.47 0.29 0.48 0.50 0.51 0.33 0.43 1
0.24 0.43 0.48 0.50 0.54 0.52 0.59 1
0.25 0.37 0.48 0.50 0.41 0.33 0.42 1
0.52 0.57 0.48 0.50 0.42 0.47 0.54 1
0.25 0.37 0.48 0.50 0.43 0.26 0.36 1
0.35 0.48 0.48 0.50 0.56 0.40 0.48 1
0.26 0.26 0.48 0.50 0.34 0.25 0.35 1
0.44 0.51 0.48 0.50 0.47 0.26 0.36 1
0.37 0.50 0.48 0.50 0.42 0.36 0.45 1
0.44 0.42 0.48 0.50 0.42 0.25 0.20 1
0.24 0.43 0.48 0.50 0.37 0.28 0.38 1
0.42 0.30 0.48 0.50 0.48 0.26 0.36 1
0.48 0.42 0.48 0.50 0.45 0.25 0.35 1
0.41 0.48 0.48 0.50 0.51 0.44 0.51 1
0.44 0.28 0.48 0.50 0.43 0.27 0.37 1
0.29 0.41 0.48 0.50 0.48 0.38 0.46 1
0.34 0.28 0.48 0.50 0.41 0.35 0.44 1
0.41 0.43 0.48 0.50 0.45 0.31 0.41 1
0.29 0.47 0.48 0.50 0.41 0.23 0.34 1
0.34 0.55 0.48 0.50 0.58 0.31 0.41 1
0.36 0.56 0.48 0.50 0.43 0.45 0.53 1
0.40 0.46 0.48 0.50 0.52 0.49 0.56 1
